original_zip_path,normalized_path,size_bytes,detected_type
Radiation modelling\00_project_notes\folder_structure.txt,00_project_notes/folder_structure.txt,1777,text
Radiation modelling\00_project_notes\folder_structure_final.txt,00_project_notes/folder_structure_final.txt,2363,text
Radiation modelling\00_project_notes\README_DATASET.txt,00_project_notes/README_DATASET.txt,922,text
Radiation modelling\01_leo_orbit\01_orbit_report.txt,01_leo_orbit/01_orbit_report.txt,222899,pdf_saved_as_txt
Radiation modelling\01_leo_orbit\02_spacecraft_coordinates.txt,01_leo_orbit/02_spacecraft_coordinates.txt,154766,pdf_saved_as_txt
Radiation modelling\01_leo_orbit\03_attitude_vectors.txt,01_leo_orbit/03_attitude_vectors.txt,134244,pdf_saved_as_txt
Radiation modelling\02_leo_trapped_radiation\04_trapped_radiation_report.txt,02_leo_trapped_radiation/04_trapped_radiation_report.txt,536064,pdf_saved_as_txt
Radiation modelling\02_leo_trapped_radiation\05_avg_proton_electron_fluxes.txt,02_leo_trapped_radiation/05_avg_proton_electron_fluxes.txt,54430,pdf_saved_as_txt
Radiation modelling\02_leo_trapped_radiation\06_trapped_proton_spectra_orbit.txt,02_leo_trapped_radiation/06_trapped_proton_spectra_orbit.txt,70193,pdf_saved_as_txt
Radiation modelling\02_leo_trapped_radiation\07_trapped_electron_spectra_orbit.txt,02_leo_trapped_radiation/07_trapped_electron_spectra_orbit.txt,78031,pdf_saved_as_txt
Radiation modelling\02_leo_trapped_radiation\08_proton_peak_fluxes.txt,02_leo_trapped_radiation/08_proton_peak_fluxes.txt,192794,pdf_saved_as_txt
Radiation modelling\02_leo_trapped_radiation\09_electron_peak_fluxes.txt,02_leo_trapped_radiation/09_electron_peak_fluxes.txt,203107,pdf_saved_as_txt
Radiation modelling\03_leo_gcr\10_gcr_report_iso15390_solarmin_H_to_U.txt,03_leo_gcr/10_gcr_report_iso15390_solarmin_H_to_U.txt,329492,pdf_saved_as_txt
Radiation modelling\03_leo_gcr\11_gcr_proton_ion_fluxes_iso15390_solarmin_H_to_U.txt,03_leo_gcr/11_gcr_proton_ion_fluxes_iso15390_solarmin_H_to_U.txt,64668,pdf_saved_as_txt
Radiation modelling\04_leo_ionizing_dose_tissue\12_ionizing_dose_report_shieldose2_tissue.txt,04_leo_ionizing_dose_tissue/12_ionizing_dose_report_shieldose2_tissue.txt,186422,pdf_saved_as_txt
Radiation modelling\04_leo_ionizing_dose_tissue\13_total_mission_doses_shieldose2_tissue.txt,04_leo_ionizing_dose_tissue/13_total_mission_doses_shieldose2_tissue.txt,46614,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\14_effective_dose_report_trapped_10k.txt,05_leo_effective_dose_trapped/14_effective_dose_report_trapped_10k.txt,86872,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\15_effective_dose_output_trapped_10k.txt,05_leo_effective_dose_trapped/15_effective_dose_output_trapped_10k.txt,44712,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\16_mulassis_multilayer_output_trapped_10k.txt,05_leo_effective_dose_trapped/16_mulassis_multilayer_output_trapped_10k.txt,86661,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\17_mulassis_macro_trapped_10k.mac,05_leo_effective_dose_trapped/17_mulassis_macro_trapped_10k.mac,49867,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\18_effective_dose_report_trapped_100k.txt,05_leo_effective_dose_trapped/18_effective_dose_report_trapped_100k.txt,86562,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\19_effective_dose_output_trapped_100k.txt,05_leo_effective_dose_trapped/19_effective_dose_output_trapped_100k.txt,43971,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\20_mulassis_multilayer_output_trapped_100k.txt,05_leo_effective_dose_trapped/20_mulassis_multilayer_output_trapped_100k.txt,87469,pdf_saved_as_txt
Radiation modelling\05_leo_effective_dose_trapped\21_mulassis_macro_trapped_100k.mac,05_leo_effective_dose_trapped/21_mulassis_macro_trapped_100k.mac,49432,pdf_saved_as_txt
Radiation modelling\06_vab_orbit\22_vab_orbit_report.txt,06_vab_orbit/22_vab_orbit_report.txt,140422,pdf_saved_as_txt
