shield_mm_Al,total_dose_rad_leo,total_dose_Gy_leo,electron_dose_rad_leo,trapped_proton_dose_rad_leo,total_dose_rad_vab,total_dose_Gy_vab,electron_dose_rad_vab,trapped_proton_dose_rad_vab,vab_to_leo_total_dose_ratio
0.05,89382.0,893.82,87405.0,1768.4,120090000.0,1200900.0,77743000.0,42156000.0,1343.5591058602404
0.1,45547.0,455.47,44618.0,840.83,56652000.0,566520.0,46523000.0,10030000.0,1243.814082156893
0.2,18048.0,180.48,17633.0,377.75,26789000.0,267890.0,24080000.0,2653500.0,1484.3195921985816
0.3,9128.8,91.288,8872.2,235.34,16116000.0,161160.0,14726000.0,1354300.0,1765.4018052756114
0.4,5457.4,54.574,5266.9,176.35,10852000.0,108520.0,9966400.0,859970.0,1988.4926888261812
0.5,3633.9,36.339,3479.9,144.07,7800000.0,78000.0,7170500.0,610580.0,2146.4542227359034
0.6,2628.7,26.287,2499.5,121.84,5862200.0,58622.0,5396500.0,451530.0,2230.075702818884
0.8,1664.5,16.645,1566.1,93.566,3667000.0,36670.0,3396300.0,261470.0,2203.0639831781314
1.0,1207.2,12.072000000000001,1126.5,77.047,2520300.0,25203.0,2349400.0,164030.0,2087.7236580516897
1.5,681.98,6.819800000000001,621.53,58.265,1241200.0,12412.0,1170400.0,67003.0,1819.9947212528227
2.0,444.83,4.4483,393.18,50.171,696510.0,6965.1,658720.0,35415.0,1565.7891778881822
2.5,305.1,3.051,258.77,45.238,411040.0,4110.4,386640.0,22715.0,1347.2304162569649
3.0,213.79,2.1379,171.04,41.903,250070.0,2500.7000000000003,232700.0,16112.0,1169.6992375695777
4.0,114.23,1.1423,75.916,37.738,98671.0,986.71,88394.0,9454.1,863.7923487700253
5.0,67.828,0.67828,32.726,34.649,40961.0,409.61,33898.0,6425.4,603.8951465471487
6.0,46.414,0.46414,13.368,32.676,18154.0,181.54,12658.0,4972.1,391.13198603869523
7.0,36.566,0.36566000000000004,5.2645,30.982,9105.3,91.053,4522.1,4122.0,249.01000929825517
8.0,31.919,0.31919000000000003,1.9703,29.661,5519.1,55.191,1509.7,3581.7,172.9095523042702
9.0,29.457,0.29457,0.69989,28.493,4080.5,40.805,471.33,3211.6,138.52395016464678
10.0,27.938,0.27938,0.23366,27.458,3378.4,33.784,136.05,2867.0,120.92490514711147
12.0,26.205,0.26205,0.019876,25.962,2730.4,27.304000000000002,9.5014,2373.3,104.19385613432551
14.0,24.372,0.24372,0.00054046,24.165,2360.3,23.603,0.27105,2036.8,96.84473986541934
16.0,22.952,0.22952000000000003,4.4993e-06,22.759,2133.9,21.339000000000002,0.0022649,1831.9,92.97228999651446
18.0,21.507,0.21507,1.8581e-08,21.325,1982.0,19.82,9.962e-06,1697.0,92.15604221881247
20.0,20.255,0.20255,0.0,20.083,1839.3,18.393,0.0,1569.3,90.80720809676623
