scenario,shield_mm_Al,total_dose_rad,total_dose_Gy,electron_dose_rad,electron_dose_Gy,brems_dose_rad,brems_dose_Gy,trapped_proton_dose_rad,trapped_proton_dose_Gy
LEO_ISS_like,0.05,89382.0,893.82,87405.0,874.0500000000001,208.62,2.0862000000000003,1768.4,17.684
LEO_ISS_like,0.1,45547.0,455.47,44618.0,446.18,87.467,0.8746700000000001,840.83,8.4083
LEO_ISS_like,0.2,18048.0,180.48,17633.0,176.33,37.141,0.37140999999999996,377.75,3.7775
LEO_ISS_like,0.3,9128.8,91.288,8872.2,88.72200000000001,21.277,0.21277000000000001,235.34,2.3534
LEO_ISS_like,0.4,5457.4,54.574,5266.9,52.669,14.166,0.14166,176.35,1.7635
LEO_ISS_like,0.5,3633.9,36.339,3479.9,34.799,9.9391,0.09939100000000001,144.07,1.4406999999999999
LEO_ISS_like,0.6,2628.7,26.287,2499.5,24.995,7.3354,0.073354,121.84,1.2184000000000001
LEO_ISS_like,0.8,1664.5,16.645,1566.1,15.661,4.808,0.04808,93.566,0.93566
LEO_ISS_like,1.0,1207.2,12.072000000000001,1126.5,11.265,3.6144,0.036144,77.047,0.77047
LEO_ISS_like,1.5,681.98,6.819800000000001,621.53,6.2153,2.1815,0.021815,58.265,0.58265
LEO_ISS_like,2.0,444.83,4.4483,393.18,3.9318,1.473,0.014730000000000002,50.171,0.50171
LEO_ISS_like,2.5,305.1,3.051,258.77,2.5877,1.0929,0.010929,45.238,0.45238
LEO_ISS_like,3.0,213.79,2.1379,171.04,1.7104,0.85033,0.0085033,41.903,0.41903
LEO_ISS_like,4.0,114.23,1.1423,75.916,0.75916,0.58077,0.0058077,37.738,0.37738
LEO_ISS_like,5.0,67.828,0.67828,32.726,0.32726,0.45259,0.0045259,34.649,0.34649
LEO_ISS_like,6.0,46.414,0.46414,13.368,0.13368,0.37027,0.0037026999999999997,32.676,0.32676000000000005
LEO_ISS_like,7.0,36.566,0.36566000000000004,5.2645,0.052645,0.31966,0.0031966,30.982,0.30982
LEO_ISS_like,8.0,31.919,0.31919000000000003,1.9703,0.019703,0.28823,0.0028823,29.661,0.29661000000000004
LEO_ISS_like,9.0,29.457,0.29457,0.69989,0.006998900000000001,0.26415,0.0026415,28.493,0.28493
LEO_ISS_like,10.0,27.938,0.27938,0.23366,0.0023366000000000003,0.24662,0.0024662,27.458,0.27458
LEO_ISS_like,12.0,26.205,0.26205,0.019876,0.00019876000000000003,0.22276,0.0022276,25.962,0.25962
LEO_ISS_like,14.0,24.372,0.24372,0.00054046,5.4046e-06,0.20581,0.0020580999999999998,24.165,0.24165
LEO_ISS_like,16.0,22.952,0.22952000000000003,4.4993e-06,4.4993000000000005e-08,0.19269,0.0019269,22.759,0.22759000000000001
LEO_ISS_like,18.0,21.507,0.21507,1.8581e-08,1.8581e-10,0.18199,0.0018199000000000002,21.325,0.21325
LEO_ISS_like,20.0,20.255,0.20255,0.0,0.0,0.17254,0.0017254,20.083,0.20082999999999998
VAB_RBSP_like,0.05,120090000.0,1200900.0,77743000.0,777430.0,194510.0,1945.1000000000001,42156000.0,421560.0
VAB_RBSP_like,0.1,56652000.0,566520.0,46523000.0,465230.0,98730.0,987.3000000000001,10030000.0,100300.0
VAB_RBSP_like,0.2,26789000.0,267890.0,24080000.0,240800.0,54776.0,547.76,2653500.0,26535.0
VAB_RBSP_like,0.3,16116000.0,161160.0,14726000.0,147260.0,35777.0,357.77,1354300.0,13543.0
VAB_RBSP_like,0.4,10852000.0,108520.0,9966400.0,99664.0,25712.0,257.12,859970.0,8599.7
VAB_RBSP_like,0.5,7800000.0,78000.0,7170500.0,71705.0,18845.0,188.45000000000002,610580.0,6105.8
VAB_RBSP_like,0.6,5862200.0,58622.0,5396500.0,53965.0,14192.0,141.92000000000002,451530.0,4515.3
VAB_RBSP_like,0.8,3667000.0,36670.0,3396300.0,33963.0,9320.3,93.20299999999999,261470.0,2614.7000000000003
VAB_RBSP_like,1.0,2520300.0,25203.0,2349400.0,23494.0,6832.9,68.329,164030.0,1640.3
VAB_RBSP_like,1.5,1241200.0,12412.0,1170400.0,11704.0,3794.9,37.949000000000005,67003.0,670.03
VAB_RBSP_like,2.0,696510.0,6965.1,658720.0,6587.2,2381.5,23.815,35415.0,354.15000000000003
VAB_RBSP_like,2.5,411040.0,4110.4,386640.0,3866.4,1680.5,16.805,22715.0,227.15
VAB_RBSP_like,3.0,250070.0,2500.7000000000003,232700.0,2327.0,1259.1,12.591,16112.0,161.12
VAB_RBSP_like,4.0,98671.0,986.71,88394.0,883.94,823.17,8.2317,9454.1,94.54100000000001
VAB_RBSP_like,5.0,40961.0,409.61,33898.0,338.98,637.65,6.3765,6425.4,64.25399999999999
VAB_RBSP_like,6.0,18154.0,181.54,12658.0,126.58,523.7,5.237000000000001,4972.1,49.721000000000004
VAB_RBSP_like,7.0,9105.3,91.053,4522.1,45.221000000000004,461.26,4.6126,4122.0,41.22
VAB_RBSP_like,8.0,5519.1,55.191,1509.7,15.097000000000001,427.67,4.2767,3581.7,35.817
VAB_RBSP_like,9.0,4080.5,40.805,471.33,4.7133,397.57,3.9757000000000002,3211.6,32.116
VAB_RBSP_like,10.0,3378.4,33.784,136.05,1.3605,375.29,3.7529000000000003,2867.0,28.67
VAB_RBSP_like,12.0,2730.4,27.304000000000002,9.5014,0.095014,347.64,3.4764,2373.3,23.733
VAB_RBSP_like,14.0,2360.3,23.603,0.27105,0.0027105000000000002,323.26,3.2326,2036.8,20.368
VAB_RBSP_like,16.0,2133.9,21.339000000000002,0.0022649,2.2649e-05,301.98,3.0198,1831.9,18.319000000000003
VAB_RBSP_like,18.0,1982.0,19.82,9.962e-06,9.962e-08,284.94,2.8494,1697.0,16.97
VAB_RBSP_like,20.0,1839.3,18.393,0.0,0.0,270.0,2.7,1569.3,15.693
