scenario,shield_mm_Al,mission_days,total_dose_Gy,total_dose_rate_Gy_day,total_dose_rate_mGy_day,electron_dose_rate_mGy_day,brems_dose_rate_mGy_day,trapped_proton_dose_rate_mGy_day,ros_forcing_index_log01,forcing_regime_label,recommended_use
LEO_ISS_like,0.05,180.0,893.82,4.965666666666667,4965.666666666667,4855.833333333334,11.590000000000002,98.24444444444444,0.5416087423790407,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.1,180.0,455.47,2.530388888888889,2530.388888888889,2478.777777777778,4.859277777777778,46.71277777777778,0.4987165838125353,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.2,180.0,180.48,1.0026666666666666,1002.6666666666666,979.6111111111111,2.0633888888888885,20.98611111111111,0.43984267285344997,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.3,180.0,91.288,0.5071555555555556,507.15555555555557,492.9000000000001,1.1820555555555554,13.074444444444445,0.39652751026239047,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.4,180.0,54.574,0.3031888888888889,303.18888888888887,292.60555555555555,0.787,9.797222222222222,0.3638713442748046,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.5,180.0,36.339,0.20188333333333333,201.88333333333333,193.32777777777778,0.5521722222222222,8.00388888888889,0.3380960023888954,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.6,180.0,26.287,0.14603888888888888,146.0388888888889,138.86111111111111,0.40752222222222223,6.768888888888888,0.31760811304248715,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.8,180.0,16.645,0.09247222222222222,92.47222222222221,87.00555555555556,0.2671111111111111,5.198111111111111,0.28877709218219777,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,1.0,180.0,12.072,0.06706666666666666,67.06666666666666,62.583333333333336,0.20080000000000003,4.280388888888889,0.26859195835029837,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,1.5,180.0,6.819800000000001,0.037887777777777784,37.887777777777785,34.529444444444444,0.12119444444444445,3.236944444444444,0.23296578517258498,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,2.0,180.0,4.4483,0.024712777777777774,24.712777777777774,21.843333333333334,0.08183333333333334,2.7872777777777777,0.2066384172648956,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,2.5,180.0,3.051,0.01695,16.95,14.37611111111111,0.06071666666666667,2.5132222222222222,0.1837663213955797,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,3.0,180.0,2.1379,0.011877222222222223,11.877222222222223,9.50222222222222,0.04724055555555555,2.327944444444445,0.16262955293498274,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,4.0,180.0,1.1423,0.006346111111111111,6.346111111111111,4.217555555555555,0.032264999999999995,2.0965555555555557,0.12690910678881248,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,5.0,180.0,0.67828,0.0037682222222222223,3.768222222222222,1.818111111111111,0.02514388888888889,1.9249444444444446,0.09940404259103741,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,6.0,180.0,0.46414,0.0025785555555555557,2.578555555555556,0.7426666666666667,0.020570555555555002,1.8153333333333332,0.08113844440174857,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,7.0,180.0,0.36566,0.0020314444444444442,2.0314444444444444,0.2924722222222222,0.01775888888888889,1.7212222222222222,0.07057928919269861,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,8.0,180.0,0.31919,0.0017732777777777777,1.7732777777777777,0.1094611111111111,0.01601277777777778,1.647833333333333,0.06491473554336118,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,9.0,180.0,0.29457,0.0016365,1.6364999999999998,0.03888277777777778,0.014675,1.5829444444444445,0.061695972132830804,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,10.0,180.0,0.27938,0.0015521111111111113,1.5521111111111112,0.01298111111111111,0.013701111111111112,1.5254444444444444,0.05962567435063524,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,12.0,180.0,0.26205,0.0014558333333333333,1.4558333333333333,0.0011042222222222222,0.012375555555555556,1.4423333333333335,0.05717841250102472,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,14.0,180.0,0.24372,0.001354,1.3539999999999999,3.0025555555555554e-05,0.011433888888888334,1.3425,0.054483248442489106,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,16.0,180.0,0.22952,0.0012751111111111112,1.275111111111111,2.4996111111111114e-07,0.010705000000000001,1.2643888888888888,0.05231394325887996,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,18.0,180.0,0.21507,0.0011948333333333333,1.1948333333333334,1.0322777777777777e-09,0.010110555555555555,1.1847222222222222,0.05002781660643123,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,20.0,180.0,0.20255,0.0011252777777777778,1.1252777777777778,0.0,0.009585555555555555,1.1157222222222216,0.04797837849262179,moderate_model_forcing,baseline LEO comparison case
VAB_RBSP_like,0.05,180.0,1200900.0,6671.666666666667,6671666.666666667,4319055.555555556,10806.111111111111,2342000.0,1.0,extreme_model_forcing,baseline LEO comparison case
