scenario,shield_mm_Al,total_dose_Gy_180d,dose_rate_mGy_day,endpoint_ros_norm_R,endpoint_mitochondrial_integrity_M,endpoint_fast_redox_channel_stress,endpoint_slow_mito_pump_stress,endpoint_neural_risk_proxy_0to1
LEO_ISS_like,1.0,12.072,67.06666666666666,0.7172972983075266,0.283633001418004,0.7172972983075266,0.716366998581996,0.7167391184722083
LEO_ISS_like,2.0,4.4483,24.712777777777774,0.5533666648038515,0.3623970799314324,0.5533666648038515,0.6376029200685676,0.6039084179626811
LEO_ISS_like,5.0,0.67828,3.768222222222222,0.1802084394646692,0.6985413648751293,0.1802084394646692,0.3014586351248707,0.2529585568607901
LEO_ISS_like,10.0,0.27938,1.5521111111111112,0.08429181639376016,0.8430674455715046,0.08429181639376016,0.1569325544284954,0.1278762592146013
LEO_ISS_like,20.0,0.20255,1.1252777777777778,0.06274899827494629,0.880256628088143,0.06274899827494629,0.11974337191185702,0.09694562245709272
VAB_RBSP_like,1.0,25203.0,140016.6666666667,0.8,0.2533151004129816,0.8,0.7466848995870183,0.768010939752211
VAB_RBSP_like,2.0,6965.1,38695.0,0.8,0.2533151004129816,0.8,0.7466848995870183,0.768010939752211
VAB_RBSP_like,5.0,409.61,2275.611111111111,0.7999999999999998,0.25331510041298166,0.7999999999999998,0.7466848995870183,0.768010939752211
VAB_RBSP_like,10.0,33.784,187.68888888888887,0.7899363101143638,0.25672673813278285,0.7899363101143638,0.7432732618672171,0.7619384811660759
VAB_RBSP_like,20.0,18.393,102.18333333333334,0.7582342951773878,0.26796014232974374,0.7582342951773878,0.7320398576702563,0.7425176326731089
