day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,excitability_ratio,ltp_proxy,structural_neural_integrity_proxy,scenario,shield_mm_Al
0.0,4965.666666666667,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,LEO_ISS_like,0.05
1.0,4965.666666666667,3.7510761135679465,0.0,0.0,0.03845391137121589,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
2.0,4965.666666666667,5.556474942480601,0.0018296083472930285,0.00043269642458750284,0.040691400708997016,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
3.0,4965.666666666667,6.425416236326768,0.0,0.0,0.04136772340940084,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
4.0,4965.666666666667,6.843639046743569,0.0018296083472930285,0.00043269642458750284,0.041638164354158784,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
5.0,4965.666666666667,7.044930342705264,0.0,0.0,0.04175800175319077,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
6.0,4965.666666666667,7.141812159815045,0.0018296083472930285,0.00043269642458750284,0.04181350435194507,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
7.0,4965.666666666667,7.188441530656192,0.0,0.0,0.04183973577077704,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
8.0,4965.666666666667,7.2108843201280015,0.0018296083472930285,0.00043269642458750284,0.04185225164579303,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
9.0,4965.666666666667,7.221686069973434,0.0,0.0,0.0418582504788478,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
10.0,4965.666666666667,7.226884969150824,0.0018296083472930285,0.00043269642458750284,0.04186113194539453,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
11.0,4965.666666666667,7.2293872074958525,0.0,0.0,0.041862517463643105,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
12.0,4965.666666666667,7.230591538744007,0.0018296083472930285,0.00043269642458750284,0.041863184006582586,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
13.0,4965.666666666667,7.231171185266555,0.0,0.0,0.04186350474316547,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
14.0,4965.666666666667,7.23145017004887,0.0018296083472930285,0.00043269642458750284,0.04186365909760925,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
15.0,4965.666666666667,7.23158444586307,0.0,0.0,0.04186373338480588,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
16.0,4965.666666666667,7.2316490730234815,0.0018296083472930285,0.00043269642458750284,0.04186376913846094,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
17.0,4965.666666666667,7.23168017817736,0.0,0.0,0.041863786346545286,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
18.0,4965.666666666667,7.231695149136809,0.0018296083472930285,0.00043269642458750284,0.0418637946287756,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
19.0,4965.666666666667,7.2317023546831205,0.0,0.0,0.041863798615015005,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
20.0,4965.666666666667,7.231705822723885,0.0018296083472930285,0.00043269642458750284,0.041863800533595744,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
21.0,4965.666666666667,7.231707491897357,0.0,0.0,0.04186380145701107,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
22.0,4965.666666666667,7.2317082952731715,0.0018296083472930285,0.00043269642458750284,0.04186380190145218,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
23.0,4965.666666666667,7.231708681939214,0.0,0.0,0.04186380211536236,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
24.0,4965.666666666667,7.231708868042188,0.0018296083472930285,0.00043269642458750284,0.041863802218317654,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
25.0,4965.666666666667,7.231708957613842,0.0,0.0,0.0418638022678702,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
26.0,4965.666666666667,7.23170900072482,0.0018296083472930285,0.00043269642458750284,0.04186380229171991,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
27.0,4965.666666666667,7.231709021474201,0.0,0.0,0.04186380230319882,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
28.0,4965.666666666667,7.231709031460911,0.0018296083472930285,0.00043269642458750284,0.04186380230872363,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
29.0,4965.666666666667,7.23170903626753,0.0,0.0,0.04186380231138273,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
30.0,4965.666666666667,7.231709038580963,0.0018296083472930285,0.00043269642458750284,0.04186380231266256,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
31.0,4965.666666666667,7.231709039694422,0.0,0.0,0.041863802313278554,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
32.0,4965.666666666667,7.2317090402303315,0.0018296083472930285,0.00043269642458750284,0.04186380231357502,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
33.0,4965.666666666667,7.231709040488266,0.0,0.0,0.04186380231371772,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
34.0,4965.666666666667,7.23170904061241,0.0018296083472930285,0.00043269642458750284,0.04186380231378639,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
35.0,4965.666666666667,7.231709040672161,0.0,0.0,0.04186380231381945,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
36.0,4965.666666666667,7.231709040700919,0.0018296083472930285,0.00043269642458750284,0.04186380231383536,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
37.0,4965.666666666667,7.23170904071476,0.0,0.0,0.04186380231384301,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
38.0,4965.666666666667,7.231709040721421,0.0018296083472930285,0.00043269642458750284,0.041863802313846704,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
39.0,4965.666666666667,7.231709040724628,0.0,0.0,0.041863802313848474,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
40.0,4965.666666666667,7.231709040726171,0.0018296083472930285,0.00043269642458750284,0.041863802313849334,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
41.0,4965.666666666667,7.231709040726914,0.0,0.0,0.04186380231384974,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
42.0,4965.666666666667,7.231709040727272,0.0018296083472930285,0.00043269642458750284,0.04186380231384994,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
43.0,4965.666666666667,7.231709040727444,0.0,0.0,0.041863802313850035,1.4891395982840836,0.0,0.0,0.0,LEO_ISS_like,0.05
44.0,4965.666666666667,7.231709040727527,0.0018296083472930285,0.00043269642458750284,0.04186380231385008,1.4884952529041944,0.0,0.0,0.0,LEO_ISS_like,0.05
